id,text,label_text,prediction_claude-3.5-sonnet,justification_claude-3.5-sonnet
56980,coffee isn't helping get the jumper cables,non-hateful,error,ANTHROPIC_API_KEY not configured.
28905,"hey, i just met you and this is crazy but here's your number.. so camping, maybe?",hateful,error,ANTHROPIC_API_KEY not configured.
32415,when finishing a race is your passion,non-hateful,error,ANTHROPIC_API_KEY not configured.
97305,when your wife just died giving birth to your daughter and you're alone in the room with your naked just born daughter,hateful,error,ANTHROPIC_API_KEY not configured.
63921,taking a photo with family,non-hateful,error,ANTHROPIC_API_KEY not configured.
84510,bartender: how about a nice 12 yr old? him: boy or girl?,hateful,error,ANTHROPIC_API_KEY not configured.
37198,when you're so relaxed you can feel yourself go to the next level,non-hateful,error,ANTHROPIC_API_KEY not configured.
84362,unleash the inner beast on the field,non-hateful,error,ANTHROPIC_API_KEY not configured.
68459,family trip in mexico,hateful,error,ANTHROPIC_API_KEY not configured.
7198,islam is a religion of peace stop criticizing my religion,hateful,error,ANTHROPIC_API_KEY not configured.
45702,"if she's still making noises, you didn't hit her hard enough",hateful,error,ANTHROPIC_API_KEY not configured.
2364,"a jewish shop owner, wears a kippah or yarmulke whilst in his shop in tehran",non-hateful,error,ANTHROPIC_API_KEY not configured.
32049,"german british danish austrian diversity. apparently we don't have it and these guys do: iraqi, pakistani, syrian, egyptian",non-hateful,error,ANTHROPIC_API_KEY not configured.
26397,there are still parts of the world where people celebrate capital punishment,non-hateful,error,ANTHROPIC_API_KEY not configured.
50198,you don't need cocaine to be happy,non-hateful,error,ANTHROPIC_API_KEY not configured.
13750,wouldn't be the last time those people used the oven this way,non-hateful,error,ANTHROPIC_API_KEY not configured.
59738,what's the difference between a refugee and e.t e.t learned english and wanted to go home,hateful,error,ANTHROPIC_API_KEY not configured.
23645,what do they have in common? you enjoy pushing them down the stairs,hateful,error,ANTHROPIC_API_KEY not configured.
63827,teacher of the year for black community,hateful,error,ANTHROPIC_API_KEY not configured.
83920,"just under 17 and a half years ago, 19 people were allowed into the us who should not have been all these years later, we are told that the answer to safety is to allow everyone in",hateful,error,ANTHROPIC_API_KEY not configured.
49621,"wait, mohammad come back i didn't mean to laugh, really size dosen't matter to me lol",non-hateful,error,ANTHROPIC_API_KEY not configured.
96312,when you support your little one every step of the way,non-hateful,error,ANTHROPIC_API_KEY not configured.
19385,rose's are red violet's are blue little stupid ass bitch i ain't fuckin witchu,non-hateful,error,ANTHROPIC_API_KEY not configured.
30148,you mean i don't have to pick it?!?,hateful,error,ANTHROPIC_API_KEY not configured.
82301,cooooooooooooon!!!!,hateful,error,ANTHROPIC_API_KEY not configured.
28951,if the brim of your hat is flat and has a sticker on it i automatically assume you're a complete tool,non-hateful,error,ANTHROPIC_API_KEY not configured.
74350,a head diaper is required when you have shit for brains,hateful,error,ANTHROPIC_API_KEY not configured.
61349,the proper way to pop a blackhead,hateful,error,ANTHROPIC_API_KEY not configured.
73526,"if she's still making noises, you didn't hit her hard enough",non-hateful,error,ANTHROPIC_API_KEY not configured.
18306,white kids kids dreaming about their first day of school,hateful,error,ANTHROPIC_API_KEY not configured.
6273,the jihad squad,hateful,error,ANTHROPIC_API_KEY not configured.
32568,america taught us how to be happy slaves the same way school teach us how to be happy employees,hateful,error,ANTHROPIC_API_KEY not configured.
98235,fashion forward !,non-hateful,error,ANTHROPIC_API_KEY not configured.
56124,how to cook turkey in usa how to cook turkey in romania,non-hateful,error,ANTHROPIC_API_KEY not configured.
42580,jack and jill went up the hill so jack could lick her candy but jack got a shock and a mouthful of cock cause jills real name was randy,hateful,error,ANTHROPIC_API_KEY not configured.
2157,"mohammed i'm pregnant.... don't sass me, you know it's funny! ~cupcakes",hateful,error,ANTHROPIC_API_KEY not configured.
84107,i ordered a dishwasher and they sent me a sandwich maker,non-hateful,error,ANTHROPIC_API_KEY not configured.
56473,knows about you. your family your children everything,non-hateful,error,ANTHROPIC_API_KEY not configured.
57621,if this gets 1k likes i'll post to islam how we see muslims how muslims see us,hateful,error,ANTHROPIC_API_KEY not configured.
3568,time to play rich vs the constitution,non-hateful,error,ANTHROPIC_API_KEY not configured.
